Date,Index Level
2020-10-20,140.7127481709909
2020-10-21,142.47582208046992
2020-10-22,144.04259052764425
2020-10-23,146.29602196245148
2020-10-26,147.33738253053193
2020-10-27,147.9627775782748
2020-10-28,148.00488991469032
2020-10-29,147.69316835770306
2020-10-30,147.31833920868218
2020-11-02,147.8750628474377
2020-11-03,148.34078481278283
2020-11-04,148.48418857621343
2020-11-05,148.19266376972533
2020-11-06,147.2651427562673
2020-11-09,145.24761702653717
2020-11-10,143.86539398490862
2020-11-11,141.27647051507785
2020-11-12,137.9839058537721
2020-11-13,134.93187089985264
2020-11-16,131.32237730632727
2020-11-17,127.37816347208583
2020-11-18,122.86371215286512
2020-11-19,118.40204471225083
2020-11-20,114.65087573970462
2020-11-23,111.68223548669285
2020-11-24,109.14795861629408
